"Name","15 Minutes","Hourly","Daily","Weekly","Monthly"
"Reliance Industries","Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Reliance Industries","Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Tata Consultancy","Strong Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Tata Consultancy","Strong Sell","Buy","Strong Buy","Strong Buy","Strong Buy"
"Bharti Airtel","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy"
"Bharti Airtel","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy"
"Bharti Airtel","Strong Sell","Strong Sell","Strong Buy","Strong Buy","Strong Buy"
"ICICI Bank","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy"
"ICICI Bank","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy"
"SBI","Strong Sell","Buy","Strong Buy","Strong Buy","Strong Buy"
"SBI","Strong Sell","Buy","Strong Buy","Strong Buy","Strong Buy"
"Infosys","Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Infosys","Strong Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"LIC India","Strong Sell","Strong Sell","Sell","Strong Buy","Strong Buy"
"LIC India","Strong Sell","Strong Sell","Sell","Strong Buy","Strong Buy"
"Hindustan Unilever","Strong Sell","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Hindustan Unilever","Strong Sell","Strong Buy","Neutral","Strong Buy","Strong Buy"
"ITC","Strong Sell","Neutral","Strong Sell","Strong Sell","Neutral"
"ITC","Neutral","Neutral","Strong Sell","Strong Sell","Buy"
"Larsen & Toubro","Strong Sell","Strong Sell","Strong Sell","Buy","Strong Buy"
"Larsen & Toubro","Strong Sell","Strong Sell","Strong Sell","Buy","Strong Buy"
"HCL Tech","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"HCL Tech","Strong Buy","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Axis Bank","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy"
"Axis Bank","Strong Sell","Sell","Strong Buy","Strong Buy","Strong Buy"
"NTPC","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"NTPC","Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Sun Pharma","Neutral","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Sun Pharma","Neutral","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Tata Motors DV Ltd","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Tata Motors DV Ltd","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Tata Motors","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Tata Motors","Neutral","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Adani Enterprises","Strong Buy","Sell","Strong Sell","Buy","Strong Buy"
"Adani Enterprises","Strong Buy","Sell","Strong Sell","Buy","Strong Buy"
"Kotak Mahindra Bank","Strong Sell","Sell","Strong Buy","Strong Buy","Neutral"
"Kotak Mahindra Bank","Strong Sell","Sell","Strong Buy","Strong Buy","Neutral"
"Adani Ports & SEZ","Sell","Strong Buy","Strong Buy","Strong Buy","Strong Buy"
"Adani Ports & SEZ","Strong Sell","Buy","Strong Buy","Strong Buy","Strong Buy"
"Power Grid","Strong Sell","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Power Grid","Neutral","Neutral","Strong Buy","Strong Buy","Strong Buy"
"Avenue Supermarts","Strong Sell","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Avenue Supermarts","Strong Sell","Strong Sell","Neutral","Strong Buy","Strong Buy"
"Coal India","Strong Buy","Buy","Neutral","Strong Buy","Strong Buy"
"Coal India","Strong Buy","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Hindustan Zinc","Neutral","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Hindustan Zinc","Neutral","Strong Buy","Neutral","Strong Buy","Strong Buy"
"Adani Green Energy","Strong Buy","Neutral","Strong Sell","Neutral","Strong Buy"
"Adani Green Energy","Strong Buy","Strong Buy","Strong Sell","Neutral","Strong Buy"
"Asian Paints","Strong Buy","Strong Buy","Buy","Buy","Neutral"
